James Harden, 31 7 9 1 0, 9 2 5 2 0
LeBron James, 29 10 12 2 2, 7 4 3 4 0
Russell Westbrook, 37 11 5 2 1, 13 3 7 1 0
Giannis Antetokounmpo, 31 13 5 2 2, 8 1 4 4 0
DeMarcus Cousins, 31 14 6 2 1, 8 1 3 4 0
Anthony Davis, 38 18 2 0 3, 6 0 2 3 0
Stephen Curry, 29 7 7 4 0, 9 0 2 2 0
Kevin Durant, 33 10 1 1 2, 7 1 2 3 0
Victor Oladipo, 21 5 5 6 1, 10 2 3 3 0
DeMar DeRozan, 33 6 8 0 0, 10 1 4 0 0
Damian Lillard, 34 4 9 2 0, 9 1 4 3 0
Chris Paul, 13 4 13 3 0, 3 0 2 2 0
Paul George, 21 7 3 1 1, 6 1 2 2 0
LeBron James, 27 9 5 2 0, 11 1 1 4 0
Nikola Jokic, 20 12 9 1 2, 5 1 4 5 0
Joel Embiid, 25 12 3 1 4, 9 3 5 4 0
Blake Griffin, 26 9 3 2 1, 10 1 4 3 0
John Wall, 18 9 13 4 1, 8 3 3 3 0
Kyrie Irving, 25 5 9 2 0, 8 1 2 3 0
Devin Booker, 35 3 5 1 0, 12 0 5 1 0
Rudy Gobert, 14 15 5 0 3, 6 3 2 5 0
Ben Simmons, 19 9 11 3 1, 6 6 3 3 0
James Harden, 33 10 11 2 0, 11 3 6 1 0
